preprocessor,time_spent_log10_median_count,time_spent_log10_median_mean,time_spent_log10_median_std,time_spent_log10_median_min,time_spent_log10_median_25%,time_spent_log10_median_50%,time_spent_log10_median_75%,time_spent_log10_median_max,rank,tie,wins
extra_trees_preproc_for_classification,211.0,1.4425286450211012,0.9728562115166844,0.8598447231948055,0.9021663491397642,1.0166540653358203,1.4890166753925471,6.023847254909755,5.199052132701421,0.0,29.0
fast_ica,208.0,1.8442252559869425,1.3859957472307203,0.7649826124097288,0.8746036282371449,1.159164659828298,2.213422928307124,6.3065399456403535,3.4471153846153846,0.0,48.0
feature_agglomeration,210.0,1.396444866713834,1.0059285042237065,0.7571950861046621,0.8143322828226731,0.9318468498364239,1.4398031427419875,5.83686818986312,7.704761904761905,0.0,1.0
kitchen_sinks,210.0,1.6551122293454146,0.9986489192755394,0.7614850234560349,0.9438395314415253,1.3283708289590654,2.000372382653583,5.811110428520285,3.980952380952381,0.0,25.0
liblinear_svc_preprocessor,206.0,1.4880156260638318,1.162142978257132,0.742398062479827,0.8020701037970921,0.9444250839754719,1.5979501414056014,6.226030170863078,7.223300970873787,0.0,9.0
no_preprocessing,211.0,1.2925045309771401,0.9192951857555424,0.7493472406506718,0.7925527639728452,0.8719272249750103,1.281937751579036,5.814336574056055,10.218009478672986,0.0,0.0
nystroem_sampler,210.0,1.8441849233998266,1.1238147359375228,0.7454049402728731,0.8626822943909929,1.6603910514181863,2.2509381881825608,5.99569966023762,4.457142857142857,0.0,70.0
pca,211.0,1.2662013583681908,0.8676490169287051,0.7571330016144977,0.793985126268322,0.8972999758317645,1.2585590835571787,5.881848488579749,9.27962085308057,0.0,1.0
polynomial,187.0,1.4080186412897886,0.9960607305957349,0.7586142608871405,0.811115198735251,1.02356240265504,1.5339243419898227,6.121562013431866,5.786096256684492,0.0,19.0
random_trees_embedding,211.0,1.504067097911555,0.9015698341651989,0.8138704510954624,0.8646282839577155,1.183487921555048,1.764958438912533,5.796535345012523,5.137440758293839,0.0,7.0
select_percentile_classification,211.0,1.4841424571421058,1.0849757555055843,0.7415851706826966,0.8122721684295171,0.9515172724861958,1.5841961926356192,6.179030444740791,7.099526066350711,0.0,2.0
select_rates_classification,211.0,1.4698789929903067,1.0800423159322639,0.7520550587752752,0.8127002332026878,0.9222125471263471,1.6539075045864826,6.0189960184116735,7.516587677725118,0.0,0.0
